TA_ID,LAT,LONG,TAMBON_E
140701,14.458,100.558,Bang Pahan
140702,14.414,100.564,Khayai
140703,14.436,100.576,Bang Duea
140704,14.496,100.549,Sao Thong
140705,14.513,100.544,Thang Klang
140706,14.5,100.577,Bang Phloeng
140707,14.512,100.517,Han Sang
140708,14.474,100.531,Bang Nang Ra
140709,14.491,100.532,Tanim
140710,14.464,100.508,Thap Nam
140711,14.492,100.51,Ban Ma
140712,14.444,100.536,Khwan Mueang
140713,14.449,100.521,Ban Li
140714,14.421,100.547,Pho Sam Ton
140715,14.419,100.525,Phut Lao
140716,14.524,100.563,Tan En
140717,14.532,100.586,Ban Khlo
140801,14.462,100.379,Phak Hai
140802,14.472,100.361,Ammarit
140803,14.495,100.405,Ban Khae
140804,14.482,100.393,Lat Nam Khem
140805,14.446,100.387,Ta Lan
140806,14.416,100.388,Tha Din Daeng
140807,14.433,100.286,Don Lan
140808,14.468,100.272,Na Khu
140809,14.439,100.407,Ku Di
140810,14.419,100.318,Lam Takhian
140811,14.5,100.388,Khok Chang
140812,14.447,100.34,Chakkarat
140813,14.474,100.311,Nong Nam Yai
140814,14.422,100.358,Lat Chit
140815,14.49,100.351,Na Khok
140816,14.435,100.384,Ban Yai
140901,14.442,100.725,Phachi
140902,14.428,100.75,Khok Muang
140903,14.39,100.77,Rasom
140904,14.457,100.751,Nong Nam Sai
140905,14.478,100.739,Don Ya Nang
140906,14.474,100.693,Phai Lom
140907,14.42,100.69,Krachio
140908,14.44,100.675,Phra Kaeo
141001,14.193,100.319,Lat Bua Luang
141002,14.195,100.277,Lak Chai
141003,14.153,100.297,Sam Mueang
141004,14.161,100.395,Phraya Banlue
141005,14.132,100.423,Singhanat
141006,14.196,100.369,Khu Salot
141007,14.134,100.368,Khlong Phraya Banlue
141101,14.275,100.708,Lam Ta Sao
141102,14.241,100.674,Bo Ta Lo
141103,14.201,100.699,Wang Noi
141104,14.2,100.641,Lam Sai
141105,14.298,100.813,Sanap Thuep
141106,14.166,100.632,Phayom
141107,14.304,100.78,Han Taphao
141108,14.229,100.758,Wang Chula
141109,14.249,100.8,Khao Ngam
141110,14.257,100.748,Chamaep
141201,14.328,100.404,Sena
141202,14.342,100.417,Ban Phaen
141203,14.303,100.378,Chao Chet
141204,14.306,100.399,Sam Ko
141205,14.292,100.424,Bang Nom Kho
141206,14.376,100.402,Hua Wiang
141207,14.24,100.371,Man Wichai
141208,14.351,100.394,Ban Pho
141209,14.351,100.366,Rang Chorakhe
141210,14.39,100.383,Ban Krathum
141211,14.301,100.348,Ban Thaeo
141212,14.258,100.348,Chai Na
141213,14.24,100.406,Sam Tum
141214,14.372,100.358,Lat Nga
141215,14.24,100.306,Don Thong
141216,14.278,100.401,Ban Luang
141217,14.331,100.363,Chao Sadet
141301,14.314,100.286,Bang Sai
141302,14.313,100.326,Kaeo Fa
141303,14.34,100.319,Tao Lao
141304,14.382,100.315,Plai Klat
141305,14.236,100.258,Thep Mongkhon
141306,14.272,100.296,Wang Phatthana
141401,14.335,100.641,Khan Ham
141402,14.322,100.68,Ban Chang
141403,14.349,100.742,Sam Bandit
141404,14.372,100.712,Ban Hip
141405,14.376,100.751,Nong Mai Sung
141406,14.373,100.655,Uthai
141407,14.392,100.689,Sena
141408,14.32,100.714,Nong Nam Som
141409,14.332,100.759,Pho Sao Han
141410,14.355,100.622,Thanu
141411,14.379,100.624,Khao Mao
141501,14.532,100.525,Hua Phai
141502,14.546,100.556,Kathum
141503,14.552,100.528,Maharat
141504,14.566,100.542,Namtao
141505,14.576,100.581,Bang Na
141506,14.602,100.563,Rong Chang
141507,14.584,100.538,Chao Pluk
141508,14.608,100.544,Phit Phian
141509,14.606,100.51,Ban Na
141510,14.576,100.518,Ban Khwang
141511,14.556,100.511,Tha To
141512,14.531,100.5,Ban Mai
141601,14.64,100.585,Ban Phraek
141602,14.655,100.586,Ban Mai
141603,14.638,100.567,Sam Phaniang
141604,14.627,100.553,Khlong Noi
141605,14.646,100.519,Song Hong
150101,14.592,100.453,Talat Luang
150102,14.588,100.459,Bang Kaeo
150103,14.599,100.445,Sala Daeng
150104,14.612,100.413,Pa Ngio
150105,14.565,100.434,Ban Hae
150106,14.619,100.478,Talat Kruat
150107,14.568,100.4,Mahatthai
150108,14.583,100.476,Ban It
150109,14.553,100.474,Hua Phai
150110,14.539,100.433,Champa Lo
150111,14.542,100.457,Pho Sa
150112,14.605,100.485,Ban Ri
150113,14.578,100.432,Khlong Wua
150114,14.619,100.447,Yan Sue
150201,14.658,100.482,Chorakhe Rong
150202,14.705,100.465,Chaiyaphum
150203,14.637,100.472,Chaiyarit
150204,14.646,100.449,Thewarat
150205,14.672,100.456,Ratsathit
150206,14.707,100.436,Chaiyo
150207,14.684,100.462,Lak Fa
150208,14.687,100.494,Chawai
150209,14.676,100.498,Tri Narong
150301,14.509,100.461,Bang Pla Kot
150302,14.501,100.437,Pa Mok
150303,14.513,100.484,Sai Thong
150304,14.488,100.472,Rong Chang
150305,14.461,100.473,Bang Sadet
150306,14.518,100.431,Norasing
150307,14.477,100.426,Ekkarat
150308,14.455,100.442,Phong Pheng
150401,14.666,100.393,Ang Kaeo
150402,14.651,100.425,Inthapramun
150403,14.641,100.406,Bang Phlap
150404,14.708,100.351,Nong Mae Kai
150405,14.679,100.242,Ram Masak
150406,14.691,100.428,Bang Rakam
150407,14.614,100.378,Pho Rang Nok
150408,14.731,100.398,Ongkharak
150409,14.689,100.375,Khok Phutsa
150410,14.658,100.297,Yang Chai
150411,14.637,100.372,Bo Rae
150412,14.677,100.36,Thang Phra
150413,14.638,100.389,Sam Ngam
150414,14.695,100.398,Bang Chao Cha
150415,14.676,100.323,Kham Yat
150501,14.763,100.31,Sawaeng Ha
150502,14.725,100.328,Si Phran
150503,14.709,100.306,Ban Phran
150504,14.738,100.221,Wang Nam Yen
150505,14.769,100.248,Si Bua Thong
150506,14.789,100.324,Huai Phai
150507,14.741,100.364,Chamlong
150601,14.59,100.366,Phai Chamsin
150602,14.597,100.34,San Chao Rong Thong
150603,14.529,100.392,Phai Dam Patthana
150604,14.546,100.223,Sao Rong Hai
150605,14.562,100.333,Tha Chang
150606,14.579,100.301,Yi Lon
150607,14.502,100.33,Bang Chak
150608,14.555,100.294,Huai Khan Laen
150609,14.53,100.337,Khlong Khanak
150610,14.505,100.251,Phai Wong
150611,14.55,100.37,Si Roi
150612,14.636,100.323,Muang Tia
150613,14.583,100.387,Hua Taphan
150614,14.517,100.289,Lak Kaeo
150615,14.542,100.315,Talat Mai
150701,14.606,100.252,Sam Ko
150702,14.605,100.293,Ratsadon Phatthana
150703,14.581,100.246,Optom
150704,14.561,100.254,Pho Muang Phan
150705,14.64,100.26,Mongkhontham Nimit
160101,14.804,100.634,Thale Chup Son
160102,14.802,100.611,Tha Hin
160103,14.767,100.684,Kok Ko
160104,14.674,100.597,Kong Thanu
160105,14.901,100.67,Khao Phra Ngam
160106,14.83,100.671,Khao Sam Yot
160107,14.89,100.58,Khok Kathiam
160108,14.74,100.64,Khok Lamphan
160109,14.866,100.817,Khok Tum
160110,14.704,100.592,Ngio Rai
160111,14.691,100.627,Don Pho
160112,14.737,100.601,Talung
160114,14.865,100.619,Tha Khae
160115,14.792,100.671,Tha Sala
160116,14.824,100.732,Nikhom Sang Ton-Eng
160117,14.82,100.583,Bang Khan Mak
160118,14.683,100.529,Ban Khoi
160119,14.725,100.563,Thai Talat
160120,14.778,100.64,Pa Tan
160121,14.82,100.603,Phrommat
160122,14.775,100.599,Pho Kao Ton
160123,14.725,100.532,Pho Tru
160124,14.681,100.563,Si Khlong
160125,14.831,100.629,Thanon Yai
160201,14.896,100.966,Phatthana Nikhom
160202,14.802,100.909,Chong Sarika
160203,14.934,101.093,Manao Wan
160204,14.94,100.852,Di Lang
160205,15.01,100.969,Khok Salung
160206,14.795,100.985,Chon Noi
160207,14.851,101.054,Nong Bua
160208,14.951,101.205,Huai Khun Ram
160209,14.952,101.146,Nam Sut
160301,15.071,100.713,Khok Samrong
160302,15.136,100.736,Ko Kaeo
160303,15.064,100.68,Thalung Lek
160304,15.024,100.642,Lum Khao
160305,14.981,100.677,Huai Pong
160306,14.967,100.802,Khlong Ket
160307,15.12,100.797,Sakae Rap
160308,15.036,100.812,Phaniat
160309,15.062,100.841,Wang Phloeng
160310,15.127,100.877,Dong Marum
160318,15.023,100.697,Wang Khon Khwang
160320,15.102,100.673,Wang Chan
160322,15.143,100.685,Nong Khaem
160401,15.214,101.146,Lam Narai
160402,15.195,101.037,Chai Narai
160403,15.314,101.087,Sila Thip
160404,15.154,101.044,Huai Hin
160405,15.078,101.024,Muang Khom
160406,15.176,101.238,Bua Chum
160407,15.15,101.134,Tha Din Dam
160408,15.059,101.077,Makok Wan
160409,15.112,101.327,Sap Takhian
160410,15.245,101.282,Na Som
160411,15.22,101.264,Nong Yai To
160412,15.318,101.251,Ko Rang
160414,15.187,101.162,Tha Manao
160417,15.264,101.15,Nikhom Lam Narai
160418,15.095,101.058,Chai Badan
160419,15.258,101.022,Ban Mai Samakkhi
160422,15.126,100.964,Khao Laem
160501,14.82,100.496,Tha Wung
160502,14.804,100.529,Bang Khu
160503,14.795,100.558,Pho Talat Kaeo
160504,14.849,100.526,Bang Li
160505,14.85,100.492,Bang Nga
160506,14.881,100.482,Khok Salut
160507,14.906,100.447,Khao Samo Khon
160508,14.776,100.494,Hua Samrong
160509,14.723,100.487,Lat Sali
160511,14.876,100.509,Mutchalin
160601,15.089,100.459,Phai Yai
160602,15.034,100.582,Ban Sai
160603,15.016,100.578,Ban Kluai
160604,15.059,100.63,Dong Phlap
160605,14.947,100.5,Ban Chi
160606,14.953,100.598,Phu Kha
160607,15.048,100.592,Hin Pak
160608,14.994,100.496,Bang Phueng
160609,14.996,100.597,Nong Sai Khao
160610,15.073,100.613,Bang Kaphi
160611,14.963,100.555,Nong Tao
160612,15.04,100.559,Phon Thong
160613,14.953,100.457,Bang Kham
160614,15.146,100.612,Don Dueng
160615,15.21,100.61,Chon Muang
160616,15.148,100.534,Nong Krabian
160617,15.095,100.509,Sai Huai Kaeo
160618,15.021,100.484,Mahason
160621,15.124,100.569,Nong Mueang
160622,15.008,100.538,Sanam Chaeng
160701,15.071,101.117,Tha Luang
160702,15.014,101.085,Kaeng Phak Kut
160703,15.026,101.228,Sap Champa
160704,15.119,101.216,Nong Phak Waen
160705,15.023,101.184,Thale Wang Wat
160706,15.029,101.292,Hua Lam
160801,15.224,100.846,Sa Bot
160802,15.289,100.861,Mahapho
160803,15.169,100.817,Thung Tha Chang
160804,15.169,100.793,Huai Yai
160805,15.183,100.904,Niyom Chai
160901,15.408,100.777,Khok Charoen
160902,15.366,100.935,Yang Rak
160903,15.515,100.839,Nong Makha
160904,15.469,100.811,Wang Thong
160905,15.344,100.85,Khok Samae San
161001,15.341,101.362,Lam Sonthi
161002,15.193,101.354,Sap Sombun
161003,15.282,101.319,Nong Ri
161004,15.523,101.346,Kut Ta Phet
161005,15.374,101.33,Khao Ruak
161006,15.112,101.387,Khao Noi
161101,15.23,100.664,Nong Muang
161102,15.293,100.652,Bo Thong
161103,15.385,100.679,Dong Din Daeng
161104,15.288,100.763,Chon Sombun
161105,15.248,100.702,Yang Thon
161106,15.195,100.709,Chon Saradet
170101,14.89,100.404,Bang Phutsa
170102,14.916,100.4,Bang Man
170103,14.944,100.394,Phok Ruam
170104,14.869,100.432,Muang Mu
170105,14.965,100.429,Hua Phai
170106,14.869,100.398,Ton Pho
170107,14.836,100.398,Chaksi
170108,14.907,100.363,Bang Krabue
170201,14.89,100.338,Sing
170202,14.858,100.345,Mai Dat
170203,14.91,100.269,Choeng Klat
170204,14.929,100.292,Pho Chon Kai
170205,14.941,100.319,Mae La
170206,14.852,100.284,Ban Cha
170207,14.924,100.22,Phak Than
170208,14.873,100.235,Sa Chaeng
170301,14.829,100.257,Pho Thale
170302,14.799,100.296,Bang Rachan
170303,14.833,100.349,Pho Sangkho
170304,14.827,100.368,Tha Kham
170305,14.817,100.281,Kho Sai
170306,14.82,100.225,Nong Krathum
170401,14.748,100.422,Phra Ngam
170402,14.837,100.451,Phrom Buri
170403,14.783,100.458,Bang Nam Chiao
170404,14.746,100.461,Ban Mo
170405,14.811,100.458,Ban Paeng
170406,14.831,100.425,Hua Pa
